Data;Ultimo;Apertura;Massimo;Minimo;Vol.;Var. %
01.12.2025;6,9937;7,0722;7,0774;6,9868;;-1,15%
01.11.2025;7,0753;7,1197;7,1334;7,0747;;-0,59%
01.10.2025;7,1174;7,1196;7,1433;7,0958;;-0,03%
01.09.2025;7,1196;7,1312;7,15;7,1034;;-0,16%
01.08.2025;7,1308;7,2019;7,2142;7,1265;;-0,97%
01.07.2025;7,2005;7,1574;7,2006;7,149;;0,51%
01.06.2025;7,1639;7,1998;7,2013;7,1574;;-0,50%
01.05.2025;7,1998;7,2714;7,2714;7,1679;;-0,98%
01.04.2025;7,2714;7,2606;7,3511;7,2596;;0,20%
01.03.2025;7,2572;7,2826;7,2935;7,2161;;-0,37%
01.02.2025;7,2838;7,2514;7,3098;7,2288;;0,45%
01.01.2025;7,2514;7,3002;7,3328;7,2376;;-0,66%
01.12.2024;7,2993;7,2528;7,2996;7,2387;;0,79%
01.11.2024;7,2423;7,1143;7,2593;7,0866;;1,75%
01.10.2024;7,1178;7,0185;7,1431;7,0185;;1,43%
01.09.2024;7,0176;7,0971;7,1256;7,0109;;-1,02%
01.08.2024;7,09;7,2121;7,2477;7,0847;;-1,79%
01.07.2024;7,2193;7,2673;7,2775;7,2109;;-0,66%
01.06.2024;7,2672;7,2437;7,2689;7,2365;;0,35%
01.05.2024;7,2415;7,2089;7,2497;7,205;;0,02%
01.04.2024;7,2401;7,2249;7,2474;7,2249;;0,27%
01.03.2024;7,2203;7,1934;7,2305;7,1716;;0,45%
01.02.2024;7,1877;7,1789;7,1995;7,1763;;0,28%
01.01.2024;7,1673;7,1087;7,1976;7,1085;;0,98%
01.12.2023;7,0978;7,135;7,1883;7,088;;-0,54%
01.11.2023;7,136;7,3158;7,3198;7,1184;;-2,46%
01.10.2023;7,3158;7,3019;7,3196;7,2758;;0,20%
01.09.2023;7,301;7,2449;7,3504;7,2448;;0,59%
01.08.2023;7,2582;7,1592;7,3173;7,1533;;1,62%
01.07.2023;7,1426;7,232;7,2558;7,1195;;-1,50%
01.06.2023;7,2513;7,1043;7,2689;7,056;;1,97%
01.05.2023;7,1109;6,895;7,1128;6,8924;;2,89%
01.04.2023;6,911;6,8788;6,9338;6,8321;;0,63%
01.03.2023;6,8676;6,9289;6,9773;6,8166;;-0,94%
01.02.2023;6,9325;6,7453;6,9732;6,7066;;2,64%
01.01.2023;6,754;6,9142;6,924;6,691;;-2,08%
01.12.2022;6,8972;7,045;7,0907;6,8931;;-2,69%
01.11.2022;7,0879;7,3231;7,3285;7,0248;;-2,93%
01.10.2022;7,3015;7,1102;7,3094;7,1082;;2,64%
01.09.2022;7,1135;6,9065;7,2506;6,8934;;3,26%
01.08.2022;6,889;6,7474;6,9225;6,723;;2,16%
01.07.2022;6,7433;6,694;6,7715;6,684;;0,67%
01.06.2022;6,6981;6,6676;6,7617;6,6376;;0,40%
01.05.2022;6,6715;6,5908;6,8127;6,5908;;0,96%
01.04.2022;6,608;6,343;6,6515;6,3422;;4,24%
01.03.2022;6,3393;6,3071;6,3868;6,3068;;0,49%
01.02.2022;6,3084;6,3569;6,372;6,3046;;-0,82%
01.01.2022;6,3605;6,3719;6,3859;6,3186;;0,13%
01.12.2021;6,3521;6,3681;6,385;6,3384;;-0,19%
01.11.2021;6,364;6,406;6,4098;6,3625;;-0,64%
01.10.2021;6,405;6,4493;6,4594;6,3777;;-0,62%
01.09.2021;6,4452;6,4618;6,476;6,4291;;-0,24%
01.08.2021;6,4604;6,4615;6,5057;6,4542;;-0,01%
01.07.2021;6,4609;6,4622;6,5132;6,4498;;0,07%
01.06.2021;6,4566;6,3676;6,4903;6,3611;;1,38%
01.05.2021;6,3688;6,4808;6,484;6,3568;;-1,61%
01.04.2021;6,473;6,5556;6,5792;6,4633;;-1,20%
01.03.2021;6,5518;6,4676;6,5802;6,4556;;1,22%
01.02.2021;6,473;6,4309;6,4902;6,4292;;0,75%
01.01.2021;6,425;6,5167;6,517;6,4223;;-1,53%
01.12.2020;6,525;6,5789;6,5875;6,5152;;-0,78%
01.11.2020;6,576;6,6927;6,7508;6,5389;;-1,73%
01.10.2020;6,6919;6,7908;6,7909;6,6408;;-1,44%
01.09.2020;6,7896;6,8445;6,8565;6,7508;;-0,84%
01.08.2020;6,8474;6,9816;6,9885;6,8422;;-1,82%
01.07.2020;6,9744;7,0675;7,0743;6,9646;;-1,28%
01.06.2020;7,0651;7,1151;7,14;7,0511;;-0,98%
01.05.2020;7,1348;7,0622;7,18;7,0622;;1,06%
01.04.2020;7,06;7,0825;7,1283;7,0275;;-0,29%
01.03.2020;7,0808;6,9742;7,127;6,9094;;1,29%
01.02.2020;6,9906;6,9366;7,0434;6,9366;;0,78%
01.01.2020;6,9364;6,9632;6,9798;6,8403;;-0,36%
01.12.2019;6,9618;7,027;7,0743;6,9567;;-0,98%
01.11.2019;7,0308;7,0395;7,0497;6,9682;;-0,10%
01.10.2019;7,0379;7,1315;7,1529;7,0314;;-1,54%
01.09.2019;7,1477;7,1568;7,1856;7,0623;;-0,09%
01.08.2019;7,1543;6,8842;7,1715;6,8842;;3,94%
01.07.2019;6,8833;6,8668;6,8971;6,8336;;0,27%
01.06.2019;6,865;6,905;6,9376;6,8339;;-0,55%
01.05.2019;6,9027;6,7349;6,9218;6,7336;;2,49%
01.04.2019;6,7347;6,712;6,7502;6,6845;;0,35%
01.03.2019;6,7112;6,6942;6,7411;6,669;;0,30%
01.02.2019;6,6912;6,7008;6,795;6,6728;;-0,07%
01.01.2019;6,6958;6,8615;6,8832;6,6915;;-2,61%
01.12.2018;6,8755;6,925;6,934;6,8315;;-1,15%
01.11.2018;6,9558;6,9679;6,9703;6,8691;;-0,26%
01.10.2018;6,9737;6,9039;6,9774;6,8895;;1,54%
01.09.2018;6,868;6,8426;6,8927;6,8065;;0,56%
01.08.2018;6,83;6,8253;6,9349;6,7891;;0,39%
01.07.2018;6,8038;6,6285;6,842;6,5989;;2,82%
01.06.2018;6,6171;6,4094;6,6417;6,3851;;3,24%
01.05.2018;6,4096;6,3531;6,4338;6,3284;;1,22%
01.04.2018;6,3325;6,2679;6,3481;6,261;;0,95%
01.03.2018;6,2726;6,3281;6,3614;6,2429;;-0,88%
01.02.2018;6,328;6,2965;6,3643;6,2525;;0,70%
01.01.2018;6,2841;6,497;6,5368;6,2838;;-3,42%
01.12.2017;6,5063;6,6097;6,6241;6,5034;;-1,55%
01.11.2017;6,609;6,6349;6,6518;6,5718;;-0,36%
01.10.2017;6,6328;6,6534;6,6634;6,5704;;-0,31%
01.09.2017;6,6533;6,5899;6,6835;6,4349;;0,98%
01.08.2017;6,5888;6,7266;6,7315;6,5799;;-2,01%
01.07.2017;6,724;6,7761;6,8078;6,7213;;-0,82%
01.06.2017;6,7793;6,8008;6,8455;6,7614;;-0,45%
01.05.2017;6,8098;6,8935;6,909;6,8101;;-1,16%
01.04.2017;6,89;6,8871;6,911;6,8737;;0,10%
01.03.2017;6,8832;6,8748;6,9215;6,866;;0,24%
01.02.2017;6,8665;6,8675;6,8924;6,8508;;-0,15%
01.01.2017;6,8768;6,9567;6,9627;6,8314;;-0,95%
01.12.2016;6,943;6,8926;6,9613;6,8625;;0,86%
01.11.2016;6,8837;6,7758;6,924;6,7551;;1,63%
01.10.2016;6,7735;6,668;6,7877;6,668;;1,57%
01.09.2016;6,6685;6,6793;6,6873;6,6561;;-0,14%
01.08.2016;6,6776;6,632;6,6838;6,6137;;0,61%
